Datum,team1,team2,score1,something,score2,Dec,Period,Arena,Att,hej,hej2,hej3
2021-01-06,LinköpingLHC,ÖrebroÖRE,4,-,7,Reg,2-4, 0-1, 2-2,Saab Arena,0
2021-01-05,RögleRBK,LuleåLHF,2,-,1,SO,0-1, 1-0, 0-0, 0-0, 1-0,Catena Arena,8
2021-01-05,OskarshamnIKO,BrynäsBIF,6,-,1,Reg,2-1, 2-0, 2-0,Be-Ge Hockey Center,8
2021-01-04,VäxjöVLH,DjurgårdenDIF,2,-,1,OT,0-1, 1-0, 0-0, 1-0,Vida Arena,8
2021-01-04,HV71HV71,LeksandLIF,2,-,4,Reg,1-1, 0-1, 1-2,Husqvarna Garden,0
2021-01-04,LinköpingLHC,MalmöMIF,1,-,3,Reg,0-1, 1-1, 0-1,Saab Arena,0
2021-01-03,OskarshamnIKO,FrölundaFHC,2,-,5,Reg,0-1, 1-1, 1-3,Be-Ge Hockey Center,0
2021-01-02,SkellefteåSKE,FärjestadFBK,3,-,2,OT,0-0, 2-1, 0-1, 1-0,Skellefteå Kraft Arena,0
2021-01-02,LuleåLHF,LinköpingLHC,5,-,2,Reg,2-1, 3-0, 0-1,Coop Norrbotten Arena,0
2021-01-02,BrynäsBIF,LeksandLIF,4,-,5,SO,3-2, 1-2, 0-0, 0-0, 0-1,Monitor ERP Arena,0
2021-01-02,RögleRBK,ÖrebroÖRE,4,-,0,Reg,0-0, 2-0, 2-0,Catena Arena,8
2021-01-02,VäxjöVLH,DjurgårdenDIF,2,-,3,OT,0-2, 1-0, 1-0, 0-1,Vida Arena,8
2021-01-02,HV71HV71,MalmöMIF,1,-,4,Reg,0-1, 1-1, 0-2,Husqvarna Garden,0
2020-12-30,FärjestadFBK,BrynäsBIF,2,-,3,OT,0-1, 1-1, 1-0, 0-1,Löfbergs Arena,0
2020-12-30,LeksandLIF,SkellefteåSKE,5,-,3,Reg,1-2, 0-0, 4-1,Tegera Arena,8
2020-12-30,DjurgårdenDIF,LuleåLHF,5,-,3,Reg,1-0, 1-2, 3-1,Hovet,0
2020-12-30,OskarshamnIKO,RögleRBK,1,-,3,Reg,0-2, 0-1, 1-0,Be-Ge Hockey Center,0
2020-12-30,FrölundaFHC,HV71HV71,4,-,1,Reg,1-0, 1-0, 2-1,Scandinavium,0
2020-12-30,ÖrebroÖRE,LinköpingLHC,3,-,2,Reg,1-0, 2-0, 0-2,Behrn Arena,0
2020-12-30,MalmöMIF,VäxjöVLH,2,-,6,Reg,1-1, 0-3, 1-2,Malmö Arena,0
2020-12-28,LuleåLHF,LeksandLIF,3,-,0,Reg,0-0, 0-0, 3-0,Coop Norrbotten Arena,0
2020-12-28,SkellefteåSKE,ÖrebroÖRE,4,-,1,Reg,2-1, 1-0, 1-0,Skellefteå Kraft Arena,0
2020-12-28,BrynäsBIF,MalmöMIF,5,-,2,Reg,2-0, 0-1, 3-1,Monitor ERP Arena,0
2020-12-28,RögleRBK,FrölundaFHC,1,-,3,Reg,1-1, 0-1, 0-1,Catena Arena,8
2020-12-28,VäxjöVLH,FärjestadFBK,4,-,1,Reg,1-0, 1-1, 2-0,Vida Arena,8
2020-12-28,LinköpingLHC,DjurgårdenDIF,1,-,5,Reg,1-2, 0-1, 0-2,Saab Arena,0
2020-12-28,HV71HV71,OskarshamnIKO,3,-,2,OT,1-0, 1-2, 0-0, 1-0,Husqvarna Garden,0
2020-12-26,ÖrebroÖRE,VäxjöVLH,6,-,2,Reg,2-1, 1-0, 3-1,Behrn Arena,0
2020-12-26,FrölundaFHC,LinköpingLHC,4,-,3,Reg,1-1, 1-1, 2-1,Scandinavium,0
2020-12-26,LeksandLIF,RögleRBK,1,-,3,Reg,0-1, 1-2, 0-0,Tegera Arena,0
2020-12-26,FärjestadFBK,DjurgårdenDIF,5,-,2,Reg,1-0, 1-0, 3-2,Löfbergs Arena,0
